Query	VP1_Subtype
KT354836.1	Ib-2
JX195578.1	Ib-2
JN794018.1	Ib-2
DQ989795.1	Ib-2
JN192436.1	Ib-2
AB301096.1	Ib-2
AY628225.1	Ib-1
JN794021.1	Ib-1
AB263932.1	Ib-1
KF468309.1	Ib-1
KT354835.1	Ib-1
JX195573.1	Ib-1
DQ989813.1	Ib-1
AB369092.1	Ia
JX195579.1	Ia
V01109.1	Ia
JF894228.1	Ia
DQ989812.1	Ia
KP984526.1	Ia
JN794032.1	Ia
DQ305492.1	Ia
V01108.1	Ia
AB211372.1	Ic
AB301098.1	Ic
AB211379.1	Ic
AB464954.1	Ic
AB369097.1	Ic
AB365165.1	Ic
Z19536.1	II
AB263920.1	II
JN793996.1	II
KF468295.1	II
JX195559.1	II
AB301101.1	II
M23122.1	III
JX195577.1	III
KF055892.1	III
JN192440.1	III
AB211386.1	III
AB269869.1	IVa-1
AB269859.1	IVa-1
AB365171.1	IVa-1
AB211389.1	IVa-2
AB269841.1	IVa-2
AB269826.1	IVa-2
AB211390.1	IVb-1
AB211391.1	IVb-1
AB217919.1	IVb-1
AB211387.1	IVb-2
AB269834.1	IVb-2
AB269846.1	IVc-1
AB365173.1	IVc-1
AB269863.1	IVc-1
AB269855.1	IVc-1
JN794007.1	IVc-1
JX195569.1	IVc-2
AB369093.1	IVc-2
JN794001.1	IVc-2
KT354834.1	IVc-2
KF468293.1	IVc-2
AB260034.1	IVc-2
